fastq_id,sample_id,direction,filepath,filepath_google,filepath_sqc,MFC_id,elapsed_months,position,position_sub,read_length,size_bp
MFC2_18m_anode_2_R1,MFC2_18m_anode_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_anode_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months27_MFC2_anode_GO_74A_S10_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_74A_S10_L002_R1_001.fastq.gz,2,18,anode,,251,3090918455
MFC2_18m_anode_2_R2,MFC2_18m_anode_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_anode_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months28_MFC2_anode_GO_74A_S10_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_74A_S10_L002_R2_001.fastq.gz,2,18,anode,,251,3395204579
MFC2_18m_chamber1_1_R1,MFC2_18m_chamber1_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber1_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months29_MFC2_chamber1_GO_71_S7_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_71_S7_L001_R1_001.fastq.gz,2,18,chamber,chamber1,251,2805494971
MFC2_18m_chamber1_1_R2,MFC2_18m_chamber1_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber1_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months30_MFC2_chamber1_GO_71_S7_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_71_S7_L001_R2_001.fastq.gz,2,18,chamber,chamber1,251,3099747364
MFC2_18m_chamber1_2_R1,MFC2_18m_chamber1_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber1_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months31_MFC2_chamber1_GO_71_S7_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_71_S7_L002_R1_001.fastq.gz,2,18,chamber,chamber1,251,2815368470
MFC2_18m_chamber1_2_R2,MFC2_18m_chamber1_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber1_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months32_MFC2_chamber1_GO_71_S7_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_71_S7_L002_R2_001.fastq.gz,2,18,chamber,chamber1,251,3104429484
MFC2_18m_chamber2_1_R1,MFC2_18m_chamber2_1,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2_1_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months33_MFC2_chamber2_GO_72_S8_L001_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_72_S8_L001_R1_001.fastq.gz,2,18,chamber,chamber2,251,2502688699
MFC2_18m_chamber2_1_R2,MFC2_18m_chamber2_1,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2_1_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months34_MFC2_chamber2_GO_72_S8_L001_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_72_S8_L001_R2_001.fastq.gz,2,18,chamber,chamber2,251,2738375126
MFC2_18m_chamber2_2_R1,MFC2_18m_chamber2_2,R1,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2_2_R1.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months35_MFC2_chamber2_GO_72_S8_L002_R1_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_72_S8_L002_R1_001.fastq.gz,2,18,chamber,chamber2,251,2502552694
MFC2_18m_chamber2_2_R2,MFC2_18m_chamber2_2,R2,/work/GoryaninU/mitsuki/mizuho/dna/row/MFC2_18m_chamber2_2_R2.fastq.gz,/work/GoryaninU/mitsuki/mizuho/dna/row/18months36_MFC2_chamber2_GO_72_S8_L002_R2_001_0066.fastq.gz,/work/sqc_data/GoryaninU/151009_D00619_0066_AH00GWBCXX/Data/Intensities/BaseCalls/Mizuho_DNA/GO_72_S8_L002_R2_001.fastq.gz,2,18,chamber,chamber2,251,2734199667
